Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR8615541	RNAseq of NCIH2452_PLEURA	Illumina HiSeq 2500	199079	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615541/SRR8615541.sra	SRR8615541.sra	SRR8615541_RNAseq_of_NCIH2452_PLEURA.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615541/SRR8615541_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/001/SRR8615541/SRR8615541_1.fastq.gz	SRR8615541_1.fastq.gz	SRR8615541_RNAseq_of_NCIH2452_PLEURA_1.fastq.gz
SRR8615541	RNAseq of NCIH2452_PLEURA	Illumina HiSeq 2500	199079	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615541/SRR8615541.sra	SRR8615541.sra	SRR8615541_RNAseq_of_NCIH2452_PLEURA.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615541/SRR8615541_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/001/SRR8615541/SRR8615541_2.fastq.gz	SRR8615541_2.fastq.gz	SRR8615541_RNAseq_of_NCIH2452_PLEURA_2.fastq.gz
SRR8615539	RNAseq of NCIH2887_LUNG	Illumina HiSeq 2500	180479	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615539/SRR8615539.sra	SRR8615539.sra	SRR8615539_RNAseq_of_NCIH2887_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615539/SRR8615539_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/009/SRR8615539/SRR8615539_1.fastq.gz	SRR8615539_1.fastq.gz	SRR8615539_RNAseq_of_NCIH2887_LUNG_1.fastq.gz
SRR8615539	RNAseq of NCIH2887_LUNG	Illumina HiSeq 2500	180479	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615539/SRR8615539.sra	SRR8615539.sra	SRR8615539_RNAseq_of_NCIH2887_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615539/SRR8615539_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/009/SRR8615539/SRR8615539_2.fastq.gz	SRR8615539_2.fastq.gz	SRR8615539_RNAseq_of_NCIH2887_LUNG_2.fastq.gz
SRR8615537	RNAseq of NCIH2347_LUNG	Illumina HiSeq 2500	205592	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615537/SRR8615537.sra	SRR8615537.sra	SRR8615537_RNAseq_of_NCIH2347_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615537/SRR8615537_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/007/SRR8615537/SRR8615537_1.fastq.gz	SRR8615537_1.fastq.gz	SRR8615537_RNAseq_of_NCIH2347_LUNG_1.fastq.gz
SRR8615537	RNAseq of NCIH2347_LUNG	Illumina HiSeq 2500	205592	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615537/SRR8615537.sra	SRR8615537.sra	SRR8615537_RNAseq_of_NCIH2347_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615537/SRR8615537_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/007/SRR8615537/SRR8615537_2.fastq.gz	SRR8615537_2.fastq.gz	SRR8615537_RNAseq_of_NCIH2347_LUNG_2.fastq.gz
SRR8615538	RNAseq of NCIH23_LUNG	Illumina HiSeq 2500	206617	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615538/SRR8615538.sra	SRR8615538.sra	SRR8615538_RNAseq_of_NCIH23_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615538/SRR8615538_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/008/SRR8615538/SRR8615538_1.fastq.gz	SRR8615538_1.fastq.gz	SRR8615538_RNAseq_of_NCIH23_LUNG_1.fastq.gz
SRR8615538	RNAseq of NCIH23_LUNG	Illumina HiSeq 2500	206617	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615538/SRR8615538.sra	SRR8615538.sra	SRR8615538_RNAseq_of_NCIH23_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615538/SRR8615538_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/008/SRR8615538/SRR8615538_2.fastq.gz	SRR8615538_2.fastq.gz	SRR8615538_RNAseq_of_NCIH23_LUNG_2.fastq.gz
SRR8615531	RNAseq of CALU6_LUNG	Illumina HiSeq 2500	237497	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615531/SRR8615531.sra	SRR8615531.sra	SRR8615531_RNAseq_of_CALU6_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615531/SRR8615531_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/001/SRR8615531/SRR8615531_1.fastq.gz	SRR8615531_1.fastq.gz	SRR8615531_RNAseq_of_CALU6_LUNG_1.fastq.gz
SRR8615531	RNAseq of CALU6_LUNG	Illumina HiSeq 2500	237497	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615531/SRR8615531.sra	SRR8615531.sra	SRR8615531_RNAseq_of_CALU6_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/001/SRR8615531/SRR8615531_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/001/SRR8615531/SRR8615531_2.fastq.gz	SRR8615531_2.fastq.gz	SRR8615531_RNAseq_of_CALU6_LUNG_2.fastq.gz
SRR8615533	RNAseq of CALU1_LUNG	Illumina HiSeq 2500	179795	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615533/SRR8615533.sra	SRR8615533.sra	SRR8615533_RNAseq_of_CALU1_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615533/SRR8615533_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/003/SRR8615533/SRR8615533_1.fastq.gz	SRR8615533_1.fastq.gz	SRR8615533_RNAseq_of_CALU1_LUNG_1.fastq.gz
SRR8615533	RNAseq of CALU1_LUNG	Illumina HiSeq 2500	179795	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615533/SRR8615533.sra	SRR8615533.sra	SRR8615533_RNAseq_of_CALU1_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615533/SRR8615533_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/003/SRR8615533/SRR8615533_2.fastq.gz	SRR8615533_2.fastq.gz	SRR8615533_RNAseq_of_CALU1_LUNG_2.fastq.gz
SRR8615529	RNAseq of NCIH292_LUNG	Illumina HiSeq 2500	218789	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615529/SRR8615529.sra	SRR8615529.sra	SRR8615529_RNAseq_of_NCIH292_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615529/SRR8615529_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/009/SRR8615529/SRR8615529_1.fastq.gz	SRR8615529_1.fastq.gz	SRR8615529_RNAseq_of_NCIH292_LUNG_1.fastq.gz
SRR8615529	RNAseq of NCIH292_LUNG	Illumina HiSeq 2500	218789	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615529/SRR8615529.sra	SRR8615529.sra	SRR8615529_RNAseq_of_NCIH292_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/009/SRR8615529/SRR8615529_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/009/SRR8615529/SRR8615529_2.fastq.gz	SRR8615529_2.fastq.gz	SRR8615529_RNAseq_of_NCIH292_LUNG_2.fastq.gz
SRR8615532	RNAseq of CAMA1_BREAST	Illumina HiSeq 2500	249966	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615532/SRR8615532.sra	SRR8615532.sra	SRR8615532_RNAseq_of_CAMA1_BREAST.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615532/SRR8615532_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/002/SRR8615532/SRR8615532_1.fastq.gz	SRR8615532_1.fastq.gz	SRR8615532_RNAseq_of_CAMA1_BREAST_1.fastq.gz
SRR8615532	RNAseq of CAMA1_BREAST	Illumina HiSeq 2500	249966	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615532/SRR8615532.sra	SRR8615532.sra	SRR8615532_RNAseq_of_CAMA1_BREAST.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/002/SRR8615532/SRR8615532_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/002/SRR8615532/SRR8615532_2.fastq.gz	SRR8615532_2.fastq.gz	SRR8615532_RNAseq_of_CAMA1_BREAST_2.fastq.gz
SRR8615530	RNAseq of NCIH3122_LUNG	Illumina HiSeq 2500	186265	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615530/SRR8615530.sra	SRR8615530.sra	SRR8615530_RNAseq_of_NCIH3122_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615530/SRR8615530_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/000/SRR8615530/SRR8615530_1.fastq.gz	SRR8615530_1.fastq.gz	SRR8615530_RNAseq_of_NCIH3122_LUNG_1.fastq.gz
SRR8615530	RNAseq of NCIH3122_LUNG	Illumina HiSeq 2500	186265	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615530/SRR8615530.sra	SRR8615530.sra	SRR8615530_RNAseq_of_NCIH3122_LUNG.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8615530/SRR8615530_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/000/SRR8615530/SRR8615530_2.fastq.gz	SRR8615530_2.fastq.gz	SRR8615530_RNAseq_of_NCIH3122_LUNG_2.fastq.gz
SRR8615526	RNAseq of CHP126_AUTONOMIC_GANGLIA	Illumina HiSeq 2500	204095	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615526/SRR8615526.sra	SRR8615526.sra	SRR8615526_RNAseq_of_CHP126_AUTONOMIC_GANGLIA.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615526/SRR8615526_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/006/SRR8615526/SRR8615526_1.fastq.gz	SRR8615526_1.fastq.gz	SRR8615526_RNAseq_of_CHP126_AUTONOMIC_GANGLIA_1.fastq.gz
SRR8615526	RNAseq of CHP126_AUTONOMIC_GANGLIA	Illumina HiSeq 2500	204095	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615526/SRR8615526.sra	SRR8615526.sra	SRR8615526_RNAseq_of_CHP126_AUTONOMIC_GANGLIA.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/006/SRR8615526/SRR8615526_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/006/SRR8615526/SRR8615526_2.fastq.gz	SRR8615526_2.fastq.gz	SRR8615526_RNAseq_of_CHP126_AUTONOMIC_GANGLIA_2.fastq.gz
SRR8615528	RNAseq of CAL851_BREAST	Illumina HiSeq 2500	233630	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615528/SRR8615528.sra	SRR8615528.sra	SRR8615528_RNAseq_of_CAL851_BREAST.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615528/SRR8615528_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/008/SRR8615528/SRR8615528_1.fastq.gz	SRR8615528_1.fastq.gz	SRR8615528_RNAseq_of_CAL851_BREAST_1.fastq.gz
SRR8615528	RNAseq of CAL851_BREAST	Illumina HiSeq 2500	233630	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615528/SRR8615528.sra	SRR8615528.sra	SRR8615528_RNAseq_of_CAL851_BREAST.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/008/SRR8615528/SRR8615528_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/008/SRR8615528/SRR8615528_2.fastq.gz	SRR8615528_2.fastq.gz	SRR8615528_RNAseq_of_CAL851_BREAST_2.fastq.gz
SRR8615527	RNAseq of CAL78_BONE	Illumina HiSeq 2500	99532	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615527/SRR8615527.sra	SRR8615527.sra	SRR8615527_RNAseq_of_CAL78_BONE.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615527/SRR8615527_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/007/SRR8615527/SRR8615527_1.fastq.gz	SRR8615527_1.fastq.gz	SRR8615527_RNAseq_of_CAL78_BONE_1.fastq.gz
SRR8615527	RNAseq of CAL78_BONE	Illumina HiSeq 2500	99532	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615527/SRR8615527.sra	SRR8615527.sra	SRR8615527_RNAseq_of_CAL78_BONE.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/007/SRR8615527/SRR8615527_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/007/SRR8615527/SRR8615527_2.fastq.gz	SRR8615527_2.fastq.gz	SRR8615527_RNAseq_of_CAL78_BONE_2.fastq.gz
SRR8615523	RNAseq of MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Illumina HiSeq 2500	202015	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615523/SRR8615523.sra	SRR8615523.sra	SRR8615523_RNAseq_of_MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615523/SRR8615523_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/003/SRR8615523/SRR8615523_1.fastq.gz	SRR8615523_1.fastq.gz	SRR8615523_RNAseq_of_MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_1.fastq.gz
SRR8615523	RNAseq of MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Illumina HiSeq 2500	202015	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615523/SRR8615523.sra	SRR8615523.sra	SRR8615523_RNAseq_of_MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/003/SRR8615523/SRR8615523_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/003/SRR8615523/SRR8615523_2.fastq.gz	SRR8615523_2.fastq.gz	SRR8615523_RNAseq_of_MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2.fastq.gz
SRR8615525	RNAseq of SNU1076_UPPER_AERODIGESTIVE_TRACT	Illumina HiSeq 2500	218308	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615525/SRR8615525.sra	SRR8615525.sra	SRR8615525_RNAseq_of_SNU1076_UPPER_AERODIGESTIVE_TRACT.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615525/SRR8615525_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/005/SRR8615525/SRR8615525_1.fastq.gz	SRR8615525_1.fastq.gz	SRR8615525_RNAseq_of_SNU1076_UPPER_AERODIGESTIVE_TRACT_1.fastq.gz
SRR8615525	RNAseq of SNU1076_UPPER_AERODIGESTIVE_TRACT	Illumina HiSeq 2500	218308	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615525/SRR8615525.sra	SRR8615525.sra	SRR8615525_RNAseq_of_SNU1076_UPPER_AERODIGESTIVE_TRACT.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/005/SRR8615525/SRR8615525_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/005/SRR8615525/SRR8615525_2.fastq.gz	SRR8615525_2.fastq.gz	SRR8615525_RNAseq_of_SNU1076_UPPER_AERODIGESTIVE_TRACT_2.fastq.gz
SRR8615524	RNAseq of MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Illumina HiSeq 2500	156223	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615524/SRR8615524.sra	SRR8615524.sra	SRR8615524_RNAseq_of_MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615524/SRR8615524_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/004/SRR8615524/SRR8615524_1.fastq.gz	SRR8615524_1.fastq.gz	SRR8615524_RNAseq_of_MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_1.fastq.gz
SRR8615524	RNAseq of MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	Illumina HiSeq 2500	156223	1553644800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR861/SRR8615524/SRR8615524.sra	SRR8615524.sra	SRR8615524_RNAseq_of_MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/004/SRR8615524/SRR8615524_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR861/004/SRR8615524/SRR8615524_2.fastq.gz	SRR8615524_2.fastq.gz	SRR8615524_RNAseq_of_MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_2.fastq.gz
